strategy,description,scenario_category,interpretive_status,modified_control_levers,interpretation_note
current,Current vaccination and standard macrolide treatment.,Comparator,Current practice,"Country-specific schedule, coverage, treatment, and PEP assumptions retained.","Baseline comparator; implementation intensity is zero by construction."
higher_child_coverage,Raise routine infant and childhood coverage to policy-plausible floors without lowering countries that already exceed those floors.,Program-only option,Implementable routine-program lever,"Nominal infant and childhood coverage floors raised; dose timing, vaccine mechanism, treatment, and PEP assumptions unchanged.","Tests marginal nominal coverage gains, not the value of routine vaccination itself."
timeliness_only,Routine timeliness improvement for the infant primary series without changing nominal final coverage.,Program-only option,Implementable routine-program lever,"Delayed infant doses moved closer to the recommended schedule; nominal coverage and vaccine mechanism unchanged.","Represents delivery timing gains that can protect infants before risk accumulates."
adolescent_booster,School-age or adolescent Tdap booster scale-up using the current aP-like mechanism.,Program-only option,Program-dependent lever,"Older-child or adolescent booster coverage raised where schedule structure permits; infant DTaP and pregnancy Tdap unchanged.","Indirect infant benefit depends on older-age transmission and was selected only in the shortest-overlap calibration profile."
pregnancy_tdap_scaleup,"Pregnancy Tdap scale-up for direct early-infant protection, aligned with guidance that prioritizes vaccination during each pregnancy.",Program-only option,Implementable maternal-program lever,"Newborn passive protection increased; routine infant DTaP coverage, adult contact structure, and treatment assumptions unchanged.","Direct early-infant protection component; not an adult-source reduction package."
cocooning_adjunct,Close-contact Tdap/cocooning adjunct for households and caregivers of infants.,Program-only option,Implementation-dependent adjunct,"Close-contact adult protection and adult-to-infant exposure reduction strengthened at a smaller magnitude than the full infant-exposure package.","Should be read as adjunctive household/contact management, not a replacement for pregnancy Tdap."
maternal_immunization,Infant-exposure reduction composite strategy combining pregnancy Tdap scale-up with close-contact adult protection and reproductive-age adult boosting.,Program-only composite,Mechanistic package,"Pregnancy Tdap, close-contact adult protection, reproductive-age adult boosting, and reduced adult-to-infant contact combined.","Primary infant-exposure package; not a maternal-vaccination-only effect estimate and decomposed in supplementary analyses."
targeted_pep_high_risk,"Targeted postexposure prophylaxis for household contacts, infants, and high-risk infant settings.",Program-only option,Implementation-dependent contact-management lever,"PEP reach increased among guideline-prioritized contacts and high-risk infant settings; routine vaccination unchanged.","Represents outbreak/contact-management support, not broad community PEP."
maternal_direct_antibody_only,Direct infant protection through transplacental antibody transfer only.,Component diagnostic,Not a standalone optimization policy,"Newborn passive protection increased; adult boosting and contact-reduction components disabled.","Isolates the direct maternal-antibody pathway within the infant-exposure package."
maternal_adult_boosting_only,Adult/maternal boosting only.,Component diagnostic,Mechanistic decomposition,"Reproductive-age adult boosting enabled; direct newborn antibody and cocooning/contact-reduction components disabled.","Isolates reduced adult-source infection risk from direct infant antibody protection."
maternal_cocooning_only,Cocooning/contact reduction only.,Component diagnostic,Mechanistic decomposition,"Adult-to-infant contact reduction enabled; direct newborn antibody and adult boosting components disabled.","Isolates reduced infant exposure from household/contact assumptions."
resistance_guided_treatment,Resistance testing plus alternative treatment and PEP assumptions for resistant infections.,Resistance-management option,Reduced-form proxy,"Earlier MRBP recognition, shorter treated resistant infectious duration, lower resistant infectiousness, and improved resistant-strain PEP effectiveness assumed.","Represents a family of testing, treatment, adherence, and PEP delivery levers rather than a specific platform."
transmission_blocking_vaccine,Hypothetical transmission-blocking vaccine target.,Future product target,Hypothetical unavailable product,"Onward infectiousness reduction strengthened under future vaccine assumptions; program delivery otherwise follows country profile.","Product-target scenario for mechanism comparison, not an available policy."
next_generation_vaccine,Hypothetical high-transmission-blocking vaccine target.,Future product target,Hypothetical unavailable product,"Susceptibility, symptom, onward infectiousness, and duration effects strengthened in a high-blocking target profile.","Upper-bound vaccine target used to compare product mechanisms."
combined_strategy,"Combined stress-test profile including transmission-blocking vaccine assumptions, pregnancy Tdap-based infant protection, close-contact adjuncts, adolescent boosting, targeted PEP, and resistance-guided management.",Future stress-test package,Non-implementable stress test,"Future vaccine target, infant-exposure package, adolescent booster, targeted PEP, and resistance-guided management combined.","Tests maximum layering logic and should not be interpreted as a single implementable policy package."
