parameter,description,baseline_value,range,unit,source_or_assumption,source_note,used_in_sensitivity_analysis
simulation.end_time,Simulation analysis horizon,10950.0,see config/model_settings.yaml sensitivity_parameters,days,pertussis_cycle_model,Thirty analysis years gives roughly 7-10 candidate 3-5-year cycles after burn-in.,False
simulation.burn_in_years,Pre-analysis burn-in horizon,60.0,see config/model_settings.yaml sensitivity_parameters,years,pertussis_cycle_model,Long burn-in reduces dependence on arbitrary initial infections and immunity.,False
transmission.beta_S,Transmission rate for macrolide-sensitive pertussis,0.03,see config/model_settings.yaml sensitivity_parameters,per contact day,pertussis_incidence,Working default retained for scenario analysis; country-level incidence calibration remains a next step against the 2023 surveillance window.,False
transmission.relative_infectiousness_asymptomatic,Relative infectiousness of asymptomatic infection,0.35,see config/model_settings.yaml sensitivity_parameters,ratio,who_pertussis_position,Assumption for subclinical/mild transmission under aP-like protection; retained in sensitivity analysis.,True
transmission.multi_year_period_years,Target/diagnostic inter-epidemic period,4.0,see config/model_settings.yaml sensitivity_parameters,years,pertussis_cycle_model,Country profiles infer 3-5-year periodicity from annual surveillance peaks when visible; otherwise use 4 years.,False
transmission.multi_year_amplitude,Weak multi-year phase-locking amplitude,0.0,see config/model_settings.yaml sensitivity_parameters,ratio,pertussis_cycle_model,Weak phase-locking term; main interpretation remains susceptible depletion/replenishment plus seasonal forcing.,True
natural_history.latent_duration,Latent period duration,8.0,see config/model_settings.yaml sensitivity_parameters,days,cdc_clinical,Uses 8 days within CDC's common 7-10 day incubation range.,False
natural_history.infectious_duration_symptomatic,Symptomatic infectious duration,21.0,see config/model_settings.yaml sensitivity_parameters,days,cdc_clinical,"Uses 21 days, aligned with infectiousness through roughly the third week after paroxysm onset.",False
natural_history.infectious_duration_asymptomatic,Asymptomatic infectious duration,14.0,see config/model_settings.yaml sensitivity_parameters,days,cdc_clinical,Shorter infectious duration for mild/asymptomatic infections; sensitivity range should be retained.,False
natural_history.recovered_immunity_duration,Duration of post-infection protection,3285.0,see config/model_settings.yaml sensitivity_parameters (reciprocal of rates.waning_natural),days,cdc_clinical,Uses 9 years within CDC's 4-20 year observational range; longer natural-immunity values remain sensitivity cases because the current ODE has no explicit immune-boosting state.,True
natural_history.vaccine_protection_duration,Duration of vaccine-derived protection proxy,1825.0,see config/model_settings.yaml sensitivity_parameters (reciprocal of rates.waning_vaccine),days,ap_waning_meta_analysis,Uses 5 years to approximate rapid aP waning; meta-analysis shows marked decline by 3-7 years.,True
treatment.treatment_rate_symptomatic,Daily transition from symptomatic infection to treatment,0.05,see config/model_settings.yaml sensitivity_parameters,per day,cdc_treatment_pep,Sensitive-strain treatment and PEP assumptions reflect early macrolide benefit; resistant effect is a scenario assumption.,True
PEP.coverage_household_contacts,Dynamic PEP coverage ceiling among close contacts,0.3,see config/model_settings.yaml sensitivity_parameters,proportion,cdc_treatment_pep,Approximation of household/close-contact PEP reach in an age-structured model without explicit households.,True
