analysis_layer,scenario,policy_read,analysis_window,treatment_component,pep_component,testing_or_uptake_component,median_infant_case_reduction_vs_current,iqr_infant_case_reduction_vs_current,countries_with_positive_reduction,median_infant_cases_per_100k,resistance_metric,median_resistance_metric,end_resistant_fraction,interpretation,source_table
Long-horizon mechanism decomposition,baseline_full_mechanism,Baseline resistant-strain mechanism,2025-2050,Baseline strain-specific differential,Baseline strain-specific differential,Not varied,,,,357.53101507182544,Median resistant infections per 100k,596.2107661930725,0.996453311328951,"Full baseline mechanism: country anchor, resistant importation, strain-specific treatment and PEP, neutral fitness.",resistance_mechanism_decomposition.csv
Long-horizon mechanism decomposition,equal_treatment_effect,Treatment differential removed,2025-2050,Equalized with sensitive strain,Baseline strain-specific differential,Not varied,,,,327.97546028199497,Median resistant infections per 100k,525.10728692048,0.9949860066136088,Tests treatment-mediated selection by making resistant treatment effects equal to sensitive-strain effects.,resistance_mechanism_decomposition.csv
Long-horizon mechanism decomposition,equal_pep_effect,PEP differential removed,2025-2050,Baseline strain-specific differential,Equalized with sensitive strain,Not varied,,,,276.63477374633027,Median resistant infections per 100k,28.444007485026763,0.1224019605599391,Tests PEP-mediated selection by making resistant PEP effectiveness equal to sensitive-strain PEP effectiveness.,resistance_mechanism_decomposition.csv
Long-horizon mechanism decomposition,no_treatment_or_pep_differential,Treatment and PEP differentials removed,2025-2050,Equalized with sensitive strain,Equalized with sensitive strain,Not varied,,,,266.86794389764043,Median resistant infections per 100k,5.8791412803443865,0.01,Tests neutral strain competition under importation when treatment and PEP do not favor resistant strains.,resistance_mechanism_decomposition.csv
Long-horizon mechanism decomposition,fitness_cost,Fitness-cost stress test,2025-2050,Baseline strain-specific differential,Baseline strain-specific differential,Not varied,,,,246.80728836967984,Median resistant infections per 100k,0.1656003596273804,0.0001373201799868,Fitness-cost stress test retaining baseline importation and management assumptions.,resistance_mechanism_decomposition.csv
Long-horizon mechanism decomposition,no_resistant_importation,No ongoing resistant importation,2025-2050,Baseline strain-specific differential,Baseline strain-specific differential,Not varied,,,,352.8369837313977,Median resistant infections per 100k,579.9200683456158,0.979543921525418,Tests dependence on ongoing resistant-strain importation after the analysis-start anchor.,resistance_mechanism_decomposition.csv
Near-term implementation sensitivity,current_near_term,Current near-term management,2025-2029,Guided-treatment uptake 0,Baseline resistant-strain PEP,PEP reach multiplier 1,0.0,0-0,0.0,170.55216587690254,,,,Current macrolide treatment and baseline resistant-strain PEP effectiveness.,treatment_implementation_sensitivity.csv
Near-term implementation sensitivity,guided_uptake_25_pep_restored,25% testing/treatment uptake plus PEP restoration,2025-2029,Guided-treatment uptake 0.25,Restored resistant-strain PEP,PEP reach multiplier 1,-0.11053858792752,-0.2084-0.1932,4.0,204.4394448497374,,,,Quarter uptake of resistance-guided treatment with partial restoration of resistant-strain PEP effectiveness.,treatment_implementation_sensitivity.csv
Near-term implementation sensitivity,guided_uptake_50_pep_restored,50% testing/treatment uptake plus PEP restoration,2025-2029,Guided-treatment uptake 0.5,Restored resistant-strain PEP,PEP reach multiplier 1,-0.1644284229374985,-0.3524-0.3033,4.0,226.84361483885544,,,,Half uptake of resistance-guided treatment with partial restoration of resistant-strain PEP effectiveness.,treatment_implementation_sensitivity.csv
Near-term implementation sensitivity,guided_uptake_75_pep_restored,75% testing/treatment uptake plus PEP restoration,2025-2029,Guided-treatment uptake 0.75,Restored resistant-strain PEP,PEP reach multiplier 1,-0.0088175370536399,-0.6458-0.3988,5.0,217.7513487945767,,,,Three-quarter uptake of resistance-guided treatment with partial restoration of resistant-strain PEP effectiveness.,treatment_implementation_sensitivity.csv
Near-term implementation sensitivity,guided_uptake_100_pep_restored,100% testing/treatment uptake plus PEP restoration,2025-2029,Guided-treatment uptake 1,Restored resistant-strain PEP,PEP reach multiplier 1,0.1616579859727239,-0.6767-0.498,6.0,204.12055843383257,,,,Full resistance-guided treatment scenario used in the main analysis.,treatment_implementation_sensitivity.csv
Near-term implementation sensitivity,guided_uptake_50_no_pep_restoration,50% testing/treatment uptake only,2025-2029,Guided-treatment uptake 0.5,Baseline resistant-strain PEP,PEP reach multiplier 1,0.2671506825536558,0.01423-0.3278,8.0,166.61542760376958,,,,Half uptake of resistance-guided treatment; resistant-strain PEP effectiveness remains at baseline.,treatment_implementation_sensitivity.csv
Near-term implementation sensitivity,guided_uptake_100_no_pep_restoration,100% testing/treatment uptake only,2025-2029,Guided-treatment uptake 1,Baseline resistant-strain PEP,PEP reach multiplier 1,0.4764377641728745,-0.3338-0.5007,6.0,169.1258133009577,,,,Full treatment restoration but no restoration of resistant-strain PEP effectiveness.,treatment_implementation_sensitivity.csv
Near-term implementation sensitivity,guided_uptake_50_low_pep_reach,50% uptake plus PEP restoration with lower PEP reach,2025-2029,Guided-treatment uptake 0.5,Restored resistant-strain PEP,PEP reach multiplier 0.5,0.1501746474916075,-0.2308-0.2723,7.0,193.74447452832004,,,,"Half uptake and half baseline PEP reach, approximating delayed activation, lower adherence, or household-only reach.",treatment_implementation_sensitivity.csv
